fnames,Sample0,Sample1,Sample2,Sample3,Sample4,Sample5,Sample6,Sample7,Sample8,Sample9,Sample10,Sample11,Sample12,Sample13,Sample14,Sample15,Sample16,Sample17,Sample18,Sample19
NCKAP1,3909.5907,4467.1495,6029.0143,5900.2832,5075.1374,6176.5101,2787.1627,6306.9931,7969.674,4759.1386,2766.9539,2202.0404,4223.1115,2685.592,3578.1202,2119.5219,3179.8298,2974.8458,3005.5749,2923.1951
NCKAP1L,840.9111,1239.8553,826.3284,1351.1112,696.3958,1041.2752,373.6229,392.1905,301.7437,471.5627,2124.0165,3144.1561,1821.6816,2620.0663,1299.2296,2730.222,2075.7617,1640.2468,2381.5331,3660.5223
NCKAP5,23.3877,38.3129,11.2741,62.4584,182.0403,67.1141,769.5992,22.8174,197.11900000000003,18.7742,524.1664,330.5797,522.6356,239.9399,1376.8875,695.5037,1186.624,1641.1960000000001,884.3206,464.2857
NCKAP5L,298.4554,870.571,361.7674,1019.9143,532.6817,554.0268,758.1031,508.1565,377.5588,419.2159,593.106,739.9731,568.4336,457.7166,1151.0015,901.5367,1332.7577,1386.8059,1067.9443,1062.98
NCKIPSD,765.8609,443.6564,671.8063,685.6064,995.113,563.4228,636.1169,744.9204,667.1721,527.0017,596.4781,525.7896,424.5741,351.7191,499.8459,464.9972,455.9559,435.6906,310.1045,438.17199999999997
NCL,8482.7646,10891.1521,11670.7287,9416.3791,9759.9267,11035.5705,11737.506000000001,12090.7971,10776.3457,9125.1242,6449.2319,6039.8301,5347.0476,6944.7656,8782.1263,9253.2726,8382.7562,7753.6782,8599.3031,9309.5238
NCLN,3872.9383,1756.2739,1334.3281,1537.5292,1247.4038,1985.906,2318.3778,2118.7953,1357.0887,1712.6449,2074.9344,2379.0064,1742.4779999999998,1333.6417,1600.9245,2092.7718,1679.1133,1792.1215,2187.1079999999997,2859.8309999999997
NCOA1,1180.2077,1049.9009,627.7046,1448.2687,1618.8149,1267.7852,949.7046,457.6899,1839.2722,1327.0017,1219.1832,1035.5245,1001.0897,1128.3919,1685.0539,1394.4223,1698.5662,1826.2933,1580.1394,1517.2811
NCOA2,2844.9254,1455.2444,716.9029,475.976,734.8809,780.2013,882.6441,362.1253,1014.4049,558.3655,333.8329,299.5651,239.7658,336.3013,499.5378,414.3426,555.5925,467.9639,457.4913,443.9324
NCOA3,991.3605,2152.6027,1858.5758,1343.9321,1210.7514,1368.7919,1131.0873,1422.1941,1341.9257,1227.3882,934.807,831.5576,592.6796,893.2701,1317.7196,1665.9078,1094.5788,1284.2905,1044.5993,1316.4363
NCOA4,5188.9345,7157.7419,4606.8142,4617.1343,6651.8021,8784.2282,4996.9663,5045.8629,7424.5641,4686.2507,7157.736999999999,8704.5362,8557.2158,10843.5476,5792.2958,6226.5225,6278.0524,5625.0593,5222.6481,6743.4716
NCOA5,614.7133,1651.638,861.4772,1140.5236,1166.7685,899.3289,1387.8333,555.1335,1135.7089,877.3054,728.7374,881.181,595.9124,740.0555,930.6626,991.4627,973.1171,718.5572,722.2997,915.5146
NCOA6,1827.7337,1919.506,1950.4269,1904.1431,1692.7306,1417.7852,1718.6652,844.5116,2644.4276,1293.8708,641.4387,731.2161,515.6313,575.2775,1181.8182,1119.5219,1338.9256,1327.9544,1255.7491,1359.8310000000001
